# source: https://github.com/datacoon/russiannames (BSD-3-Clause)
# format: kind\ttext\tgender  kind=n|m|s  gender=m|f
n	агния	f
n	демьян	m
n	амир	m
n	алиса	f
n	арина	f
n	виль	m
n	чеслава	f
n	апполинария	f
n	флюр	m
n	рамиля	f
n	аким	m
n	валериан	m
n	адольф	m
n	лазарь	m
n	олимпиада	f
n	октябрина	f
n	василиса	f
n	ахат	m
n	родион	m
n	лира	f
n	нурия	f
n	гурий	m
n	лейсан	f
n	павла	f
n	павлина	f
n	муза	f
n	ахмед	m
n	владислава	f
n	махмут	m
n	радмир	m
n	витольд	m
n	эмиль	m
n	эдвард	m
n	марта	f
n	аида	f
n	асхат	m
n	рустэм	m
n	рамазан	m
n	армен	m
n	самуил	m
n	харис	m
n	габдулла	m
n	эрик	m
n	тереза	f
n	ильмира	f
n	артемий	m
n	рауф	m
n	лаврентий	m
n	дилара	f
n	ашот	m
n	емельян	m
n	лада	f
n	альфира	f
n	афонасий	m
n	рената	f
n	закир	m
n	спартак	m
n	леонарда	f
n	сабина	f
n	касим	m
n	юлиана	f
n	ильфат	m
n	мунир	m
n	асия	f
n	расим	m
n	султан	m
n	владлен	m
n	расима	f
n	леонард	m
n	резида	f
n	терентий	m
n	ананий	m
n	ася	f
n	мидхат	m
n	арнольд	m
n	салих	m
n	фекла	f
n	нэля	f
n	федосия	f
n	лука	m
n	болеслав	m
n	аксана	f
n	гузалия	f
n	неонила	f
n	марьям	f
n	юзефа	f
n	христина	f
n	леон	m
n	леонида	f
n	рамзия	f
n	исмагил	m
n	евстафий	m
n	владилен	m
n	фатима	f
n	ислам	m
n	зайтуна	f
n	илдар	m
n	карл	m
n	мира	f
n	хамза	m
n	фарид	m
n	фания	f
n	сабир	m
n	исмаил	m
n	гали	m
n	линар	m
n	акулина	f
n	ханиф	m
n	сагит	m
n	рифкат	m
n	юзеф	m
n	миляуша	f
n	раушания	f
n	нэлли	f
n	сурен	m
n	никандр	m
n	карп	m
n	хайдар	m
n	танзиля	f
n	федот	m
n	мирослав	m
n	галимзян	m
n	эвелина	f
n	алёна	f
n	шакир	m
n	сания	f
n	сулейман	m
n	эрнест	m
n	рида	f
n	евдоким	m
n	дора	f
n	виталия	f
n	нелля	f
n	лилиана	f
n	вагиз	m
n	андриан	m
n	самвел	m
n	руслана	f
n	нурулла	m
n	заки	m
n	мирон	m
n	лейла	f
n	айсылу	f
n	генрик	m
n	исхак	m
n	фома	m
n	гариф	m
n	рахиль	f
n	винер	m
n	амина	f
n	мая	f
n	аниса	f
n	данис	m
n	калерия	f
n	соломон	m
n	израиль	m
n	агрипина	f
n	сусанна	f
n	рашида	f
n	ляля	f
n	спиридон	m
n	архип	m
n	арон	m
n	клавдий	m
n	рубен	m
n	зинур	m
n	гаяз	m
n	мурат	m
n	поликарп	m
n	манефа	f
n	альфир	m
n	гульсина	f
n	ленар	m
n	раиля	f
n	порфирий	m
n	фатых	m
n	расул	m
n	рафаиль	m
n	ефрем	m
n	феодосия	f
n	данила	m
n	эльвир	m
n	мефодий	m
n	мударис	m
n	айнур	m
n	анисим	m
n	разиля	f
n	файзрахман	m
n	муса	m
n	ада	f
n	гульфия	f
n	мухамет	m
n	васса	f
n	платон	m
n	юсуп	m
n	зульфира	f
n	акрам	m
n	мадина	f
n	флюза	f
n	феодосий	m
n	евстолия	f
n	нафиса	f
n	люцина	f
n	семён	m
n	фрида	f
n	искандер	m
n	тахир	m
n	харитон	m
n	сарра	f
n	мухамед	m
n	белла	f
n	хусаин	m
n	маина	f
n	зарема	f
n	фаиль	m
n	фидан	m
n	индира	f
n	ефросиния	f
n	рахим	m
n	филюс	m
n	абдул	m
n	федора	f
n	ильгам	m
n	владимр	m
n	ромуальда	f
n	фрол	m
n	гумар	m
n	зиннур	m
n	изабелла	f
n	лиля	f
n	илшат	m
n	пантелеймон	m
n	давыд	m
n	халил	m
n	фагим	m
n	нияз	m
n	гульнур	f
n	гульчачак	f
n	вита	f
n	галим	m
n	ариадна	f
n	ира	f
n	рифат	m
n	гумер	m
n	назар	m
n	василь	m
n	венедикт	m
n	люся	f
n	зимфира	f
n	мустафа	m
n	карим	m
n	малик	m
n	исай	m
n	назип	m
n	загит	m
n	идрис	m
n	арам	m
n	стелла	f
n	карен	m
n	берта	f
n	анас	m
n	назир	m
n	рузиль	m
n	евсей	m
n	фатих	m
n	агзам	m
n	усман	m
n	наил	m
n	альвина	f
n	ричард	m
n	хабибулла	m
n	хаким	m
n	юнус	m
n	рамис	m
n	абдулхак	m
n	авенир	m
n	августина	f
n	левон	m
n	марьяна	f
n	устинья	f
n	самат	m
n	зофия	f
n	асгат	m
n	газиз	m
n	ахнаф	m
n	насима	f
n	рушан	m
n	домна	f
n	халим	m
n	мухтар	m
n	юлай	m
n	рышард	m
n	лукерья	f
n	эсфирь	f
n	салим	m
n	эльмир	m
n	гусман	m
n	прохор	m
n	закий	m
n	нил	m
n	идея	f
n	юнир	m
n	снежанна	f
n	габдрахман	m
n	масгут	m
n	нургали	m
n	якуб	m
n	искандар	m
n	жан	m
n	каролина	f
n	василина	f
n	диляра	f
n	эльвина	f
n	ирма	f
n	ильфир	m
n	самигулла	m
n	саркис	m
n	аза	f
n	камил	m
n	рада	f
n	файруза	f
n	абдрахман	m
n	меланья	f
n	ахтям	m
n	залия	f
